,verse_title_ISH,book_title_ISH,chapter_number_ISH,verse_number_ISH,scripture_text_ISH,verse_title_BOM,book_title_BOM,chapter_number_BOM,verse_number_BOM,scripture_text_BOM,scripture_cleaned_ISH,scripture_cleaned_BOM,similarity_score,similarity_category,word_count_ISH,word_count_BOM,bible_term_in_ISH,bible_term_in_BOM,Duhms_Class,bible_term_name_ISH,bible_term_name_BOM
10,Isaiah 1:7,Isaiah,1.0,7.0,"Your country is desolate, your cities are burned with fire: your land, strangers devour it in your presence, and it is desolate, as overthrown by strangers.",2 Nephi 13:8,2 Nephi,13.0,8.0,"For Jerusalem is ruined, and Judah is fallen, because their tongues and their doings have been against the Lord, to provoke the eyes of his glory.",country desolate cities burned fire land strangers devour presence desolate overthrown strangers,jerusalem ruined judah fallen tongues doings lord provoke eyes glory,0.0,Similar Theme,26,26,True,True,Proto,fire,jerusalem
11,Isaiah 1:8,Isaiah,1.0,8.0,"And the daughter of Zion is left as a cottage in a vineyard, as a lodge in a garden of cucumbers, as a besieged city.",,,,,,daughter zion left cottage vineyard lodge garden cucumbers besieged city,NA,0.0,,25,0,True,False,Proto,zion,
12,Isaiah 1:9,Isaiah,1.0,9.0,"Except the LORD of hosts had left unto us a very small remnant, we should have been as Sodom, and we should have been like unto Gomorrah.",,,,,,except lord hosts left unto us small remnant sodom like unto gomorrah,NA,0.0,,27,0,True,False,Proto,lord,
13,Isaiah 1:10,Isaiah,1.0,10.0,"Hear the word of the LORD, ye rulers of Sodom; give ear unto the law of our God, ye people of Gomorrah.",,,,,,hear word lord ye rulers sodom give ear unto law god ye people gomorrah,NA,0.0,,22,0,True,False,Proto,lord,
14,Isaiah 1:11,Isaiah,1.0,11.0,"To what purpose is the multitude of your sacrifices unto me? saith the LORD: I am full of the burnt offerings of rams, and the fat of fed beasts; and I delight not in the blood of bullocks, or of lambs, or of he goats.",,,,,,purpose multitude sacrifices unto saith lord full burnt offerings rams fat fed beasts delight blood bullocks lambs goats,NA,0.0,,45,0,True,False,Proto,lord,
15,Isaiah 1:12,Isaiah,1.0,12.0,"When ye come to appear before me, who hath required this at your hand, to tread my courts?",,,,,,ye come appear hath required hand tread courts,NA,0.0,,18,0,False,False,Proto,,
16,Isaiah 1:13,Isaiah,1.0,13.0,"Bring no more vain oblations; incense is an abomination unto me; the new moons and sabbaths, the calling of assemblies, I cannot away with; it is iniquity, even the solemn meeting.",,,,,,bring vain oblations incense abomination unto new moons sabbaths calling assemblies cannot away iniquity even solemn meeting,NA,0.0,,31,0,True,False,Proto,incense,
17,Isaiah 1:14,Isaiah,1.0,14.0,Your new moons and your appointed feasts my soul hateth: they are a trouble unto me; I am weary to bear them.,,,,,,new moons appointed feasts soul hateth trouble unto weary bear,NA,0.0,,22,0,True,False,Proto,bear,
18,Isaiah 1:15,Isaiah,1.0,15.0,"And when ye spread forth your hands, I will hide mine eyes from you: yea, when ye make many prayers, I will not hear: your hands are full of blood.",Mosiah 11:25,Mosiah,11.0,25.0,"And except they repent in sackcloth and ashes, and cry mightily to the Lord their God, I will not hear their prayers, neither will I deliver them out of their afflictions; and thus saith the Lord, and thus hath he commanded me.",ye spread forth hands hide mine eyes yea ye make many prayers hear hands full blood,except repent sackcloth ashes cry mightily lord god hear prayers neither deliver afflictions thus saith lord thus hath commanded,0.11470786693528087,Similar Theme,30,42,True,True,Proto,prayer,lord
19,Isaiah 1:16,Isaiah,1.0,16.0,"Wash you, make you clean; put away the evil of your doings from before mine eyes; cease to do evil;",,,,,,wash make clean put away evil doings mine eyes cease evil,NA,0.0,,20,0,False,False,Proto,,
20,Isaiah 1:17,Isaiah,1.0,17.0,"Learn to do well; seek judgment, relieve the oppressed, judge the fatherless, plead for the widow.",,,,,,learn well seek judgment relieve oppressed judge fatherless plead widow,NA,0.0,,16,0,False,False,Proto,,
21,Isaiah 1:18,Isaiah,1.0,18.0,"Come now, and let us reason together, saith the LORD: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.",,,,,,come let us reason together saith lord though sins scarlet shall white snow though red like crimson shall wool,NA,0.0,,34,0,True,False,Proto,let,
22,Isaiah 1:19,Isaiah,1.0,19.0,"If ye be willing and obedient, ye shall eat the good of the land:",,,,,,ye willing obedient ye shall eat good land,NA,0.0,,14,0,False,False,Proto,,
23,Isaiah 1:20,Isaiah,1.0,20.0,"But if ye refuse and rebel, ye shall be devoured with the sword: for the mouth of the LORD hath spoken it.",Alma 60:29,Alma,60.0,29.0,"Behold it is time, yea, the time is now at hand, that except ye do bestir yourselves in the defence of your country and your little ones, the sword of justice doth hang over you; yea, and it shall fall upon you and visit you even to your utter destruction.",ye refuse rebel ye shall devoured sword mouth lord hath spoken,behold time yea time hand except ye bestir defence country little ones sword justice doth hang yea shall fall upon visit even utter destruction,0.1846372364689991,Similar Theme,22,50,True,False,Proto,lord,
24,Isaiah 1:21,Isaiah,1.0,21.0,How is the faithful city become an harlot! it was full of judgment; righteousness lodged in it; but now murderers.,,,,,,faithful city become harlot full judgment righteousness lodged murderers,NA,0.0,,20,0,False,False,Proto,,
25,Isaiah 1:22,Isaiah,1.0,22.0,"Thy silver is become dross, thy wine mixed with water:",,,,,,thy silver become dross thy wine mixed water,NA,0.0,,10,0,False,False,Proto,,
26,Isaiah 1:23,Isaiah,1.0,23.0,"Thy princes are rebellious, and companions of thieves: every one loveth gifts, and followeth after rewards: they judge not the fatherless, neither doth the cause of the widow come unto them.",2 Nephi 19:16,2 Nephi,19.0,16.0,For the leaders of this people cause them to err; and they that are led of them are destroyed.,thy princes rebellious companions thieves every one loveth gifts followeth rewards judge fatherless neither doth cause widow come unto,leaders people cause err led destroyed,0.0936585811581694,Similar Theme,31,19,False,False,Proto,,
27,Isaiah 1:24,Isaiah,1.0,24.0,"Therefore saith the Lord, the LORD of hosts, the mighty One of Israel, Ah, I will ease me of mine adversaries, and avenge me of mine enemies:",2 Nephi 6:18,2 Nephi,6.0,18.0,"And I will feed them that oppress thee, with their own flesh; and they shall be drunken with their own blood as with sweet wine; and all flesh shall know that I the Lord am thy Savior and thy Redeemer, the Mighty One of Jacob.",therefore saith lord lord hosts mighty one israel ah ease mine adversaries avenge mine enemies,feed oppress thee flesh shall drunken blood sweet wine flesh shall know lord thy savior thy redeemer mighty one jacob,0.1732050807568877,Similar Theme,27,45,True,True,Proto,lord,flesh
28,Isaiah 1:25,Isaiah,1.0,25.0,"And I will turn my hand upon thee, and purely purge away thy dross, and take away all thy tin:",,,,,,turn hand upon thee purely purge away thy dross take away thy tin,NA,0.0,,20,0,False,False,Proto,,
29,Isaiah 1:26,Isaiah,1.0,26.0,"And I will restore thy judges as at the first, and thy counsellors as at the beginning: afterward thou shalt be called, The city of righteousness, the faithful city.",,,,,,restore thy judges first thy counsellors beginning afterward thou shalt called city righteousness faithful city,NA,0.0,,29,0,False,False,Proto,,
30,Isaiah 1:27,Isaiah,1.0,27.0,"Zion shall be redeemed with judgment, and her converts with righteousness.",,,,,,zion shall redeemed judgment converts righteousness,NA,0.0,,11,0,True,False,Proto,zion,
31,Isaiah 1:28,Isaiah,1.0,28.0,"And the destruction of the transgressors and of the sinners shall be together, and they that forsake the LORD shall be consumed.",,,,,,destruction transgressors sinners shall together forsake lord shall consumed,NA,0.0,,22,0,True,False,Proto,lord,
32,Isaiah 1:29,Isaiah,1.0,29.0,"For they shall be ashamed of the oaks which ye have desired, and ye shall be confounded for the gardens that ye have chosen.",,,,,,shall ashamed oaks ye desired ye shall confounded gardens ye chosen,NA,0.0,,24,0,False,False,Proto,,
33,Isaiah 1:30,Isaiah,1.0,30.0,"For ye shall be as an oak whose leaf fadeth, and as a garden that hath no water.",,,,,,ye shall oak whose leaf fadeth garden hath water,NA,0.0,,18,0,False,False,Proto,,
34,Isaiah 1:31,Isaiah,1.0,31.0,"And the strong shall be as tow, and the maker of it as a spark, and they shall both burn together, and none shall quench them.",,,,,,strong shall tow maker spark shall burn together none shall quench,NA,0.0,,26,0,False,False,Proto,,
35,Isaiah 2:1,Isaiah,2.0,1.0,THE word that Isaiah the son of Amoz saw concerning Judah and Jerusalem.,2 Nephi 12:1,2 Nephi,12.0,1.0,"The word that Isaiah, the son of Amoz, saw concerning Judah and Jerusalem:",word isaiah son amoz saw concerning judah jerusalem,word isaiah son amoz saw concerning judah jerusalem,1.0,Direct Quote,13,13,True,True,Proto,isaiah,isaiah
36,Isaiah 2:2,Isaiah,2.0,2.0,"And it shall come to pass in the last days, that the mountain of the LORD's house shall be established in the top of the mountains, and shall be exalted above the hills; and all nations shall flow unto it.",3 Nephi 21:25,3 Nephi,21.0,25.0,And then shall the power of heaven come down among them; and I also will be in the midst.,shall come pass last days mountain lords house shall established top mountains shall exalted hills nations shall flow unto,shall power heaven come among also midst,0.173421993904824,Similar Theme,40,19,True,True,Proto,lord,heaven
37,Isaiah 2:3,Isaiah,2.0,3.0,"And many people shall go and say, Come ye, and let us go up to the mountain of the LORD, to the house of the God of Jacob; and he will teach us of his ways, and we will walk in his paths: for out of Zion shall go forth the law, and the word of the LORD from Jerusalem.",2 Nephi 8:4,2 Nephi,8.0,4.0,"Hearken unto me, my people; and give ear unto me, O my nation; for a law shall proceed from me, and I will make my judgment to rest for a light for the people.",many people shall go say come ye let us go mountain lord house god jacob teach us ways walk paths zion shall go forth law word lord jerusalem,hearken unto people give ear unto nation law shall proceed make judgment rest light people,0.14638501094227999,Similar Theme,60,34,True,False,Proto,let,
38,Isaiah 2:3,Isaiah,2.0,3.0,"And many people shall go and say, Come ye, and let us go up to the mountain of the LORD, to the house of the God of Jacob; and he will teach us of his ways, and we will walk in his paths: for out of Zion shall go forth the law, and the word of the LORD from Jerusalem.",3 Nephi 20:22,3 Nephi,20.0,22.0,"And behold, this people will I establish in this land, unto the fulfilling of the covenant which I made with your father Jacob; and it shall be a New Jerusalem. And the powers of heaven shall be in the midst of this people; yea, even I will be in the midst of you.",many people shall go say come ye let us go mountain lord house god jacob teach us ways walk paths zion shall go forth law word lord jerusalem,behold people establish land unto fulfilling covenant made father jacob shall new jerusalem powers heaven shall midst people yea even midst,0.20619652471058064,Similar Theme,60,53,True,True,Proto,let,covenant
39,Isaiah 2:4,Isaiah,2.0,4.0,"And he shall judge among the nations, and shall rebuke many people: and they shall beat their swords into plowshares, and their spears into pruninghooks: nation shall not lift up sword against nation, neither shall they learn war any more.",2 Nephi 12:4,2 Nephi,12.0,4.0,"And he shall judge among the nations, and shall rebuke many people: and they shall beat their swords into plow-shares, and their spears into pruning-hooks--nation shall not lift up sword against nation, neither shall they learn war any more.",shall judge among nations shall rebuke many people shall beat swords plowshares spears pruninghooks nation shall lift sword nation neither shall learn war,shall judge among nations shall rebuke many people shall beat swords plow shares spears pruning hooks nation shall lift sword nation neither shall learn war,0.8757605390397141,Direct Quote,40,39,False,False,Proto,,
40,Isaiah 2:4,Isaiah,2.0,4.0,"And he shall judge among the nations, and shall rebuke many people: and they shall beat their swords into plowshares, and their spears into pruninghooks: nation shall not lift up sword against nation, neither shall they learn war any more.",2 Nephi 21:9,2 Nephi,21.0,9.0,"They shall not hurt nor destroy in all my holy mountain, for the earth shall be full of the knowledge of the Lord, as the waters cover the sea.",shall judge among nations shall rebuke many people shall beat swords plowshares spears pruninghooks nation shall lift sword nation neither shall learn war,shall hurt destroy holy mountain earth shall full knowledge lord waters cover sea,0.11566298639324804,Similar Theme,40,29,False,True,Proto,,knowledge
41,Isaiah 2:5,Isaiah,2.0,5.0,"O house of Jacob, come ye, and let us walk in the light of the LORD.",2 Nephi 12:5,2 Nephi,12.0,5.0,"O house of Jacob, come ye and let us walk in the light of the Lord; yea, come, for ye have all gone astray, every one to his wicked ways.",house jacob come ye let us walk light lord,house jacob come ye let us walk light lord yea come ye gone astray every one wicked ways,0.7071067811865476,Shared Language,16,30,True,True,Proto,house,house
42,Isaiah 2:6,Isaiah,2.0,6.0,"Therefore thou hast forsaken thy people the house of Jacob, because they be replenished from the east, and are soothsayers like the Philistines, and they please themselves in the children of strangers.",2 Nephi 12:6,2 Nephi,12.0,6.0,"Therefore, O Lord, thou hast forsaken thy people, the house of Jacob, because they be replenished from the east, and hearken unto soothsayers like the Philistines, and they please themselves in the children of strangers.",therefore thou hast forsaken thy people house jacob replenished east soothsayers like philistines please children strangers,therefore lord thou hast forsaken thy people house jacob replenished east hearken unto soothsayers like philistines please children strangers,0.917662935482247,Direct Quote,32,35,True,True,Proto,house,lord
43,Isaiah 2:7,Isaiah,2.0,7.0,"Their land also is full of silver and gold, neither is there any end of their treasures; their land is also full of horses, neither is there any end of their chariots:",2 Nephi 12:7,2 Nephi,12.0,7.0,"Their land also is full of silver and gold, neither is there any end of their treasures; their land is also full of horses, neither is there any end of their chariots.",land also full silver gold neither end treasures land also full horses neither end chariots,land also full silver gold neither end treasures land also full horses neither end chariots,1.0,Direct Quote,32,32,True,True,Proto,gold,gold
44,Isaiah 2:8,Isaiah,2.0,8.0,"Their land also is full of idols; they worship the work of their own hands, that which their own fingers have made:",2 Nephi 12:8,2 Nephi,12.0,8.0,"Their land is also full of idols; they worship the work of their own hands, that which their own fingers have made.",land also full idols worship work hands fingers made,land also full idols worship work hands fingers made,1.0,Direct Quote,22,22,True,True,Proto,idol,idol
45,Isaiah 2:9,Isaiah,2.0,9.0,"And the mean man boweth down, and the great man humbleth himself: therefore forgive them not.",2 Nephi 12:9,2 Nephi,12.0,9.0,"And the mean man boweth not down, and the great man humbleth himself not, therefore, forgive him not.",mean man boweth great man humbleth therefore forgive,mean man boweth great man humbleth therefore forgive,1.0,Direct Quote,16,18,True,True,Proto,mean,mean
46,Isaiah 2:10,Isaiah,2.0,10.0,"Enter into the rock, and hide thee in the dust, for fear of the LORD, and for the glory of his majesty.",2 Nephi 12:10,2 Nephi,12.0,10.0,"O ye wicked ones, enter into the rock, and hide thee in the dust, for the fear of the Lord and the glory of his majesty shall smite thee.",enter rock hide thee dust fear lord glory majesty,ye wicked ones enter rock hide thee dust fear lord glory majesty shall smite thee,0.7745966692414834,Direct Quote,22,29,True,True,Proto,fear,fear
47,Isaiah 2:11,Isaiah,2.0,11.0,"The lofty looks of man shall be humbled, and the haughtiness of men shall be bowed down, and the LORD alone shall be exalted in that day.",2 Nephi 12:11,2 Nephi,12.0,11.0,"And it shall come to pass that the lofty looks of man shall be humbled, and the haughtiness of men shall be bowed down, and the Lord alone shall be exalted in that day.",lofty looks man shall humbled haughtiness men shall bowed lord alone shall exalted day,shall come pass lofty looks man shall humbled haughtiness men shall bowed lord alone shall exalted day,0.9074852129730302,Direct Quote,27,34,True,True,Proto,lord,lord
48,Isaiah 2:12,Isaiah,2.0,12.0,"For the day of the LORD of hosts shall be upon every one that is proud and lofty, and upon every one that is lifted up; and he shall be brought low:",,,,,,day lord hosts shall upon every one proud lofty upon every one lifted shall brought low,NA,0.0,,32,0,True,False,Proto,lord,
49,Isaiah 2:13,Isaiah,2.0,13.0,"And upon all the cedars of Lebanon, that are high and lifted up, and upon all the oaks of Bashan,",,,,,,upon cedars lebanon high lifted upon oaks bashan,NA,0.0,,20,0,True,False,Proto,cedar,
50,Isaiah 2:14,Isaiah,2.0,14.0,"And upon all the high mountains, and upon all the hills that are lifted up,",2 Nephi 12:14,2 Nephi,12.0,14.0,"And upon all the high mountains, and upon all the hills, and upon all the nations which are lifted up, and upon every people;",upon high mountains upon hills lifted,upon high mountains upon hills upon nations lifted upon every people,0.7385489458759964,Shared Language,15,24,False,False,Proto,,
51,Isaiah 2:15,Isaiah,2.0,15.0,"And upon every high tower, and upon every fenced wall,",2 Nephi 12:15,2 Nephi,12.0,15.0,"And upon every high tower, and upon every fenced wall;",upon every high tower upon every fenced wall,upon every high tower upon every fenced wall,1.0,Direct Quote,10,10,False,False,Proto,,
52,Isaiah 2:16,Isaiah,2.0,16.0,"And upon all the ships of Tarshish, and upon all pleasant pictures.",2 Nephi 12:16,2 Nephi,12.0,16.0,"And upon all the ships of the sea, and upon all the ships of Tarshish, and upon all pleasant pictures.",upon ships tarshish upon pleasant pictures,upon ships sea upon ships tarshish upon pleasant pictures,0.816496580927726,Direct Quote,12,20,True,True,Proto,tarshish,tarshish
53,Isaiah 2:17,Isaiah,2.0,17.0,"And the loftiness of man shall be bowed down, and the haughtiness of men shall be made low: and the LORD alone shall be exalted in that day.",2 Nephi 12:17,2 Nephi,12.0,17.0,"And the loftiness of man shall be bowed down, and the haughtiness of men shall be made low; and the Lord alone shall be exalted in that day.",loftiness man shall bowed haughtiness men shall made low lord alone shall exalted day,loftiness man shall bowed haughtiness men shall made low lord alone shall exalted day,1.0,Direct Quote,28,28,True,True,Proto,lord,lord
54,Isaiah 2:17,Isaiah,2.0,17.0,"And the loftiness of man shall be bowed down, and the haughtiness of men shall be made low: and the LORD alone shall be exalted in that day.",2 Nephi 15:15,2 Nephi,15.0,15.0,"And the mean man shall be brought down, and the mighty man shall be humbled, and the eyes of the lofty shall be humbled.",loftiness man shall bowed haughtiness men shall made low lord alone shall exalted day,mean man shall brought mighty man shall humbled eyes lofty shall humbled,0.3086066999241838,Shared Language,28,24,True,True,Proto,lord,mean
55,Isaiah 2:18,Isaiah,2.0,18.0,And the idols he shall utterly abolish.,2 Nephi 12:18,2 Nephi,12.0,18.0,And the idols he shall utterly abolish.,idols shall utterly abolish,idols shall utterly abolish,1.0,Direct Quote,7,7,True,True,Proto,idol,idol
56,Isaiah 2:19,Isaiah,2.0,19.0,"And they shall go into the holes of the rocks, and into the caves of the earth, for fear of the LORD, and for the glory of his majesty, when he ariseth to shake terribly the earth.",2 Nephi 12:19,2 Nephi,12.0,19.0,"And they shall go into the holes of the rocks, and into the caves of the earth, for the fear of the Lord shall come upon them and the glory of his majesty shall smite them, when he ariseth to shake terribly the earth.",shall go holes rocks caves earth fear lord glory majesty ariseth shake terribly earth,shall go holes rocks caves earth fear lord shall come upon glory majesty shall smite ariseth shake terribly earth,0.8583950752789522,Direct Quote,37,44,True,True,Proto,fear,fear
57,Isaiah 2:19,Isaiah,2.0,19.0,"And they shall go into the holes of the rocks, and into the caves of the earth, for fear of the LORD, and for the glory of his majesty, when he ariseth to shake terribly the earth.",2 Nephi 12:21,2 Nephi,12.0,21.0,"To go into the clefts of the rocks, and into the tops of the ragged rocks, for the fear of the Lord shall come upon them and the majesty of his glory shall smite them, when he ariseth to shake terribly the earth.",shall go holes rocks caves earth fear lord glory majesty ariseth shake terribly earth,go clefts rocks tops ragged rocks fear lord shall come upon majesty glory shall smite ariseth shake terribly earth,0.6744532734334624,Shared Language,37,43,True,True,Proto,fear,fear
58,Isaiah 2:20,Isaiah,2.0,20.0,"In that day a man shall cast his idols of silver, and his idols of gold, which they made each one for himself to worship, to the moles and to the bats;",2 Nephi 12:20,2 Nephi,12.0,20.0,"In that day a man shall cast his idols of silver, and his idols of gold, which he hath made for himself to worship, to the moles and to the bats;",day man shall cast idols silver idols gold made one worship moles bats,day man shall cast idols silver idols gold hath made worship moles bats,0.9230769230769231,Direct Quote,32,31,True,True,Proto,idol,idol
59,Isaiah 2:21,Isaiah,2.0,21.0,"To go into the clefts of the rocks, and into the tops of the ragged rocks, for fear of the LORD, and for the glory of his majesty, when he ariseth to shake terribly the earth.",,,,,,go clefts rocks tops ragged rocks fear lord glory majesty ariseth shake terribly earth,NA,0.0,,36,0,True,False,Proto,fear,
60,Isaiah 2:22,Isaiah,2.0,22.0,"Cease ye from man, whose breath is in his nostrils: for wherein is he to be accounted of?",2 Nephi 12:22,2 Nephi,12.0,22.0,"Cease ye from man, whose breath is in his nostrils; for wherein is he to be accounted of?",cease ye man whose breath nostrils wherein accounted,cease ye man whose breath nostrils wherein accounted,1.0,Direct Quote,18,18,False,False,Proto,,
61,Isaiah 3:1,Isaiah,3.0,1.0,"FOR, behold, the Lord, the LORD of hosts, doth take away from Jerusalem and from Judah the stay and the staff, the whole stay of bread, and the whole stay of water,",2 Nephi 13:1,2 Nephi,13.0,1.0,"For behold, the Lord, the Lord of Hosts, doth take away from Jerusalem, and from Judah, the stay and the staff, the whole staff of bread, and the whole stay of water--",behold lord lord hosts doth take away jerusalem judah stay staff whole stay bread whole stay water,behold lord lord hosts doth take away jerusalem judah stay staff whole staff bread whole stay water,0.9411764705882353,Direct Quote,32,32,True,True,Proto,lord,lord
62,Isaiah 3:2,Isaiah,3.0,2.0,"The mighty man, and the man of war, the judge, and the prophet, and the prudent, and the ancient,",,,,,,mighty man man war judge prophet prudent ancient,NA,0.0,,19,0,True,False,Proto,prophet,
63,Isaiah 3:3,Isaiah,3.0,3.0,"The captain of fifty, and the honourable man, and the counsellor, and the cunning artificer, and the eloquent orator.",2 Nephi 13:3,2 Nephi,13.0,3.0,"The captain of fifty, and the honorable man, and the counselor, and the cunning artificer, and the eloquent orator.",captain fifty honourable man counsellor cunning artificer eloquent orator,captain fifty honorable man counselor cunning artificer eloquent orator,0.7777777777777778,Direct Quote,19,19,False,False,Proto,,
64,Isaiah 3:4,Isaiah,3.0,4.0,"And I will give children to be their princes, and babes shall rule over them.",2 Nephi 13:4,2 Nephi,13.0,4.0,"And I will give children unto them to be their princes, and babes shall rule over them.",give children princes babes shall rule,give children unto princes babes shall rule,0.9258200997725514,Direct Quote,15,17,False,False,Proto,,
65,Isaiah 3:5,Isaiah,3.0,5.0,"And the people shall be oppressed, every one by another, and every one by his neighbour: the child shall behave himself proudly against the ancient, and the base against the honourable.",2 Nephi 13:5,2 Nephi,13.0,5.0,"And the people shall be oppressed, every one by another, and every one by his neighbor; the child shall behave himself proudly against the ancient, and the base against the honorable.",people shall oppressed every one another every one neighbour child shall behave proudly ancient base honourable,people shall oppressed every one another every one neighbor child shall behave proudly ancient base honorable,0.875,Direct Quote,31,31,False,False,Proto,,
66,Isaiah 3:6,Isaiah,3.0,6.0,"When a man shall take hold of his brother of the house of his father, saying, Thou hast clothing, be thou our ruler, and let this ruin be under thy hand:",2 Nephi 13:6,2 Nephi,13.0,6.0,"When a man shall take hold of his brother of the house of his father, and shall say: Thou hast clothing, be thou our ruler, and let not this ruin come under thy hand--",man shall take hold brother house father saying thou hast clothing thou ruler let ruin thy hand,man shall take hold brother house father shall say thou hast clothing thou ruler let ruin come thy hand,0.8902638145194516,Direct Quote,31,34,True,True,Proto,house,house
